trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
122,False,"{'a': 0.5, 'e': 0.29342272152521587}",30,18,21.864875154146898,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.2904884943099637}",20,0,-34.609008656073726,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.28758360936686406}",30,17,-17.546887201077347,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.2847077732731954}",20,10,-14.659560238495235,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.28186069554046345}",20,7,23.83512862455312,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.2790420885850588}",30,20,17.207618882167804,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.2762516676992082}",20,13,13.20940081151856,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27348915102221616}",25,10,-21.378336129717585,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
130,False,"{'a': 0.5, 'e': 0.270754259511994}",35,10,21.72679211677766,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.26804671691687404}",20,0,17.292422078452052,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
132,False,"{'a': 0.5, 'e': 0.2653662497477053}",20,9,0.07327341670806375,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.2627125872502282}",20,12,-75.47808779414757,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 2}",1
134,False,"{'a': 0.5, 'e': 0.2600854613777259}",25,11,-25.428683530481553,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.2574846067639487}",25,1,12.332485315750542,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.2549097606963092}",20,6,16.96318968031375,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.2523606630893461}",20,16,7.797005642661647,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.24983705645845267}",20,6,28.33248707922964,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.24733868589386815}",20,7,0.1597817375663606,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24486529903492946}",30,18,20.801129163732913,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.24241664604458016}",20,0,10.7114500364404,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
142,False,"{'a': 0.5, 'e': 0.23999247958413436}",25,6,20.056035783580263,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23759255478829303}",25,12,18.764836036310136,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.2352166292404101}",25,8,-0.4003642459228205,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.232864462948006}",30,4,42.142732204621495,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.23053581831852593}",20,6,-7.54220984112912,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.22823046013534068}",25,14,19.852019404671207,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22594815553398728}",30,0,-42.50689087209329,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.22368867397864742}",35,3,26.465048336446717,"{0: 30, 1: 0, 2: 2, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22145178723886094}",20,14,10.850495820283681,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.21923726936647234}",20,13,-16.870799530463092,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.2170448966728076}",25,0,3.9912788993278507,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.21487444770607952}",25,11,-3.2282592398560883,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21272570322901874}",25,0,-1.4875146854366383,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.21059844619672854}",25,12,23.94830116061622,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.20849246173476127}",20,6,-2.753660489352302,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.20640753711741366}",20,12,14.495715564611416,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20434346174623952}",30,8,27.787127306151646,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.20230002712877712}",20,9,-13.811933286288216,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20027702685748935}",35,12,36.91708869509158,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19827425658891445}",20,8,-31.458603661152925,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
162,False,"{'a': 0.5, 'e': 0.1962915140230253}",20,0,4.128860132147787,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.19432859888279505}",30,21,15.170764109270753,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.1923853128939671}",25,14,-17.58183650566588,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.19046145976502743}",20,3,28.111685751009244,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.18855684516737714}",25,14,21.266851400900734,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.18667127671570335}",20,14,9.350173302243244,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.18480456394854633}",20,5,-1.0618446551752163,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18295651830906087}",20,6,-9.762131513527073,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18112695312597027}",25,0,7.762578353037554,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.17931568359471056}",25,19,-28.57128215790327,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
172,False,"{'a': 0.5, 'e': 0.17752252675876345}",20,3,-15.910106722186438,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
173,False,"{'a': 0.5, 'e': 0.17574730149117582}",30,4,-48.80694863899598,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 2}",1
174,False,"{'a': 0.5, 'e': 0.17398982847626407}",25,11,-25.457088811394595,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
175,False,"{'a': 0.5, 'e': 0.17224993019150142}",25,18,-0.3731442168417034,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.1705274308895864}",25,15,-4.465578626452658,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.16882215658069055}",25,0,23.443173934591652,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
